proc,day,cpu,mem
q,1,0.01,5608
q,2,0.01,5652
q,3,0.01,6192
q,4,0.8,5360
q,5,0.01,5452
q,6,0.25,40576
q,7,0.12,5812
q,8,0.01,5516
q,9,0.48,19056
q,10,0.75,301856
q,11,1.78,5400
q,12,0.01,5692
q,13,0.56,20648
q,14,0.01,5900
q,15,1.18,30540
q,16,0.01,5528
q,17,0.29,5600
q,18,3.74,6376
q,19,0.05,5856
q,20,10.78,5576
q,21,0.08,5488
q,22,1.39,7656
q,23,0.01,5360
q,24,5.6,14412
q,25,9.41,5540
k,1,0,2096
k,2,0,2228
k,3,0,3316
k,4,0.65,3264
k,5,0.01,2032
k,6,0.87,21504
k,7,0.07,2212
k,8,0,2008
k,9,0.12,12824
k,10,0.56,208972
k,11,1.29,1988
k,12,0,2204
k,13,0.31,18148
k,14,0,2368
k,15,0.2,27524
k,16,0,2212
k,17,0.43,2840
k,18,4.76,247600
k,19,0.01,19648
k,20,6.3,2072
k,21,0.02,2120
k,22,4.4,2192
k,23,0,2100
k,24,6.1,10604
k,25,4.65,1996
